Filename,Scene Complexity,Base Threshold,Adaptive Threshold,Threshold Change,Standard Objects,Adaptive Objects,Object Count Diff,Standard Time (s),Adaptive Time (s),Speed Improvement
000000000502.jpg,0.3003340125083923,0.25,0.29992896307340267,0.049928963073402666,1,1,0,0.023483991622924805,0.020425796508789062,1.1497221962834998
000000000072.jpg,0.35,0.25,0.28804687500000004,0.038046875000000036,1,1,0,0.021544933319091797,0.02067399024963379,1.042127478002145
000000000073.jpg,0.6488276522421466,0.25,0.1612312355713859,-0.08876876442861409,1,1,0,0.02891707420349121,0.02656102180480957,1.088703379561061
000000000488.jpg,0.6085982333683596,0.25,0.18383041341399758,-0.06616958658600242,8,7,-1,0.02104496955871582,0.019618749618530273,1.072696780779467
000000000113.jpg,0.7838361913920855,0.25,0.2524928248778182,0.0024928248778182116,9,9,0,0.02164483070373535,0.019572973251342773,1.105852975211645
000000000136.jpg,0.557754928972684,0.25,0.20993210078189445,-0.04006789921810555,4,4,0,0.022196054458618164,0.022233009338378906,0.9983378372581821
000000000650.jpg,0.5791157807969676,0.25,0.1993005364391346,-0.05069946356086541,2,2,0,0.02110910415649414,0.019721269607543945,1.0703724748237968
000000000446.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,4,18,14,0.022915124893188477,0.021587848663330078,1.061482561350032
000000000308.jpg,0.9263843297958374,0.25,0.17171555757522583,-0.07828444242477417,15,21,6,0.02251601219177246,0.020420074462890625,1.1026410424061275
000000000491.jpg,0.6128474617959475,0.25,0.18152459924377257,-0.06847540075622743,2,1,-1,0.020067930221557617,0.01807999610900879,1.1099521316577217
000000000532.jpg,0.8440718813329875,0.25,0.2183592672446404,-0.03164073275535961,6,7,1,0.023261070251464844,0.02193427085876465,1.0604897879324775
000000000283.jpg,0.6815762904465078,0.25,0.14156479101994213,-0.10843520898005787,4,4,0,0.021251678466796875,0.021180391311645508,1.0033657147359771
000000000042.jpg,0.6551925644278527,0.25,0.1574981462146381,-0.09250185378536191,2,2,0,0.03192615509033203,0.025418996810913086,1.2559958730009848
000000000081.jpg,0.35,0.25,0.28804687500000004,0.038046875000000036,1,1,0,0.021412134170532227,0.02032017707824707,1.0537375775850943
000000000094.jpg,0.6171516230791747,0.25,0.17916941808411807,-0.07083058191588193,2,4,2,0.021899700164794922,0.022410154342651367,0.9772221926698229
000000000241.jpg,0.9033163390683385,0.25,0.18478740786127482,-0.06521259213872518,11,15,4,0.022944927215576172,0.020635128021240234,1.1119352975158867
000000000490.jpg,0.3795981824398041,0.25,0.2797194549499402,0.029719454949940216,2,2,0,0.03127098083496094,0.029142141342163086,1.0730502082123192
000000000309.jpg,0.6587181682349658,0.25,0.1554118170072124,-0.0945881829927876,2,4,2,0.031785011291503906,0.03016185760498047,1.0538147785120309
000000000321.jpg,0.6353111892938614,0.25,0.1690160256401706,-0.0809839743598294,5,5,0,0.023139238357543945,0.02170419692993164,1.0661181536568753
000000000109.jpg,0.6624001372420417,0.25,0.15321885799100798,-0.09678114200899202,6,9,3,0.021546125411987305,0.020040273666381836,1.0751412765451194
000000000486.jpg,0.8849490523338318,0.25,0.1951955370108286,-0.05480446298917141,5,7,2,0.021589040756225586,0.019938230514526367,1.0827962260992263
000000000531.jpg,0.5280729510075305,0.25,0.22390032270209298,-0.02609967729790702,9,9,0,0.02355194091796875,0.020763158798217773,1.1343139619001688
000000000257.jpg,0.9800757169723511,0.25,0.14129042625427246,-0.10870957374572754,19,28,9,0.02318406105041504,0.02218914031982422,1.0448381828340567
000000000294.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,5,12,7,0.023709774017333984,0.021183013916015625,1.1192823698901495
000000000450.jpg,0.7697023686945318,0.25,0.2605019910730986,0.010501991073098627,5,5,0,0.027187108993530273,0.022131919860839844,1.2284116861291852
000000000322.jpg,0.6383792860895335,0.25,0.167265989164541,-0.082734010835459,4,4,0,0.024045705795288086,0.023211956024169922,1.035918979436718
000000000326.jpg,0.5246130123734474,0.25,0.22546763829042166,-0.024532361709578343,2,2,0,0.021416902542114258,0.020968198776245117,1.0213992518221202
000000000332.jpg,0.9523561956057013,0.25,0.1569981558234359,-0.0930018441765641,8,12,4,0.023031949996948242,0.02160191535949707,1.0661994371171568
000000000508.jpg,0.10091510807396845,0.25,0.28318081532100525,0.03318081532100525,0,0,0,0.022760868072509766,0.02188587188720703,1.0399799555536189
000000000520.jpg,0.573735473304987,0.25,0.20202406008289064,-0.047975939917109356,7,9,2,0.02259993553161621,0.02098989486694336,1.076705513528249
000000000078.jpg,0.5495188187622653,0.25,0.2139018167761194,-0.03609818322388059,3,3,0,0.030126094818115234,0.0313420295715332,0.9612043390284349
000000000086.jpg,0.5598336037063227,0.25,0.20891881147943003,-0.04108118852056997,3,3,0,0.024646997451782227,0.02351522445678711,1.048129372401906
000000000092.jpg,0.5255712166428566,0.25,0.2250348553939694,-0.02496514460603061,3,3,0,0.020450115203857422,0.021871089935302734,0.9350295419364685
000000000247.jpg,0.8326835870928023,0.25,0.2248126339807453,-0.025187366019254698,3,2,-1,0.020961999893188477,0.02322983741760254,0.9023739390145022
000000000643.jpg,0.9700439718141092,0.25,0.14697508263867143,-0.10302491736132857,3,8,5,0.02135777473449707,0.02075481414794922,1.0290516013417268
000000000133.jpg,0.6985523283481598,0.25,0.1309217773091545,-0.1190782226908455,1,3,2,0.02156209945678711,0.02138996124267578,1.0080476169245174
000000000127.jpg,0.9807354922057604,0.25,0.14091655441673576,-0.10908344558326424,8,12,4,0.024965286254882812,0.02419281005859375,1.031929990539262
000000000641.jpg,0.9169925001442312,0.25,0.1770375832516023,-0.07296241674839771,3,4,1,0.022204160690307617,0.02090597152709961,1.0620965718586775
000000000443.jpg,0.7592797780992007,0.25,0.26640812574378625,0.01640812574378625,5,5,0,0.022482872009277344,0.022736072540283203,0.9888634886013297
000000000536.jpg,0.7709475303345488,0.25,0.259796399477089,0.00979639947708899,4,4,0,0.023183822631835938,0.021233797073364258,1.0918359326753573
000000000250.jpg,0.0,0.25,0.25,0.0,0,0,0,0.02167820930480957,0.021931886672973633,0.9884333996456098
000000000196.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,18,29,11,0.023039817810058594,0.02177596092224121,1.0580390868779768
000000000357.jpg,0.5925473939442264,0.25,0.19236719063183655,-0.05763280936816345,8,8,0,0.014414072036743164,0.014229059219360352,1.0130024630954575
000000000431.jpg,0.4864678353071213,0.25,0.241903887770046,-0.008096112229953989,2,2,0,0.020313262939453125,0.019557714462280273,1.0386317367824358
000000000419.jpg,0.541738296905154,0.25,0.21758574093139624,-0.03241425906860376,2,2,0,0.02766704559326172,0.024566173553466797,1.1262252761117257
000000000394.jpg,0.6355042859911919,0.25,0.16890617858269014,-0.08109382141730986,3,3,0,0.03320884704589844,0.030903100967407227,1.0746121264957529
000000000009.jpg,0.7593542870654596,0.25,0.2663659039962395,0.016365903996239495,4,4,0,0.022298812866210938,0.02168416976928711,1.028345244639912
000000000034.jpg,0.35,0.25,0.28804687500000004,0.038046875000000036,1,1,0,0.021944046020507812,0.021475791931152344,1.0218038101159022
000000000544.jpg,0.9395036697387695,0.25,0.16428124904632568,-0.08571875095367432,11,11,0,0.023396015167236328,0.022376298904418945,1.0455712657027478
000000000395.jpg,1.0,0.25,0.12999999999999995,-0.12000000000000005,8,17,9,0.03235125541687012,0.030548095703125,1.0590269105894106
000000000626.jpg,0.20222921823113554,0.25,0.2662951302948107,0.016295130294810722,2,2,0,0.02371501922607422,0.021468162536621094,1.1046599440273643
000000000154.jpg,0.5552208617329597,0.25,0.21116116999164772,-0.03883883000835228,3,3,0,0.026707887649536133,0.02275872230529785,1.1735231570235813
000000000142.jpg,0.8234291371428129,0.25,0.23005682228573937,-0.01994317771426063,9,9,0,0.0242922306060791,0.02259516716003418,1.075107364067067
000000000368.jpg,0.9229856504589259,0.25,0.17364146473994196,-0.07635853526005804,9,11,2,0.030218839645385742,0.023607969284057617,1.2800270655126793
000000000397.jpg,0.810190429783008,0.25,0.2375587564562954,-0.0124412435437046,2,3,1,0.02292609214782715,0.023782014846801758,0.9640096642572857
000000000208.jpg,0.6407618701457978,0.25,0.1659000686418478,-0.08409993135815219,1,1,0,0.022049903869628906,0.02138495445251465,1.0310942638943086
000000000036.jpg,0.5428007587790489,0.25,0.21708647801312114,-0.03291352198687886,2,2,0,0.02556300163269043,0.023869752883911133,1.0709370037056645
000000000584.jpg,0.9584962500721156,0.25,0.15351879162580115,-0.09648120837419885,5,8,3,0.022175073623657227,0.021395206451416016,1.0364505560632062
000000000590.jpg,0.3529382197001205,0.25,0.28726182403918343,0.03726182403918343,2,1,-1,0.02509903907775879,0.026176929473876953,0.9588228864965299
000000000382.jpg,0.42961691617965697,0.25,0.26353111580186317,0.01353111580186317,4,4,0,0.02185797691345215,0.021863222122192383,0.9997600898572535
000000000194.jpg,0.7886759351753817,0.25,0.249750303400617,-0.00024969659938300914,4,4,0,0.025068044662475586,0.022505998611450195,1.1138383635073148
000000000625.jpg,0.5824958304525828,0.25,0.19757381722280726,-0.05242618277719274,4,4,0,0.021730899810791016,0.02063918113708496,1.052895445146534
000000000143.jpg,0.6030408546328545,0.25,0.18681713361544391,-0.06318286638455609,6,6,0,0.025216102600097656,0.024528980255126953,1.0280126747147218
000000000581.jpg,0.6247400020241617,0.25,0.1749692129589565,-0.07503078704104349,1,1,0,0.029045820236206055,0.02919602394104004,0.9948553369754282
000000000595.jpg,0.13381891548633576,0.25,0.277696847418944,0.027696847418944015,1,1,0,0.02361607551574707,0.023374080657958984,1.0103531283787919
000000000542.jpg,0.9584962500721156,0.25,0.15351879162580115,-0.09648120837419885,12,13,1,0.02232193946838379,0.023964881896972656,0.9314437502487166
000000000387.jpg,0.592030937578641,0.25,0.19263732687228813,-0.05736267312771187,1,2,1,0.02229619026184082,0.022765636444091797,0.9793791760048594
000000000436.jpg,0.6945095463186443,0.25,0.13348414964724992,-0.11651585035275008,3,4,1,0.02117609977722168,0.021313905715942383,0.9935344586507378
000000000634.jpg,0.8181291829609499,0.25,0.23306012965546166,-0.016939870344538338,6,7,1,0.021397113800048828,0.02161407470703125,0.9899620543593364
000000000620.jpg,0.7249179195427523,0.25,0.28587984559244034,0.03587984559244034,1,1,0,0.023646116256713867,0.022771120071411133,1.0384256981017497
000000000636.jpg,0.35,0.25,0.28804687500000004,0.038046875000000036,1,1,0,0.022449970245361328,0.021661996841430664,1.0363758433582442
000000000144.jpg,0.6519914785982585,0.25,0.15938099776354508,-0.09061900223645492,2,3,1,0.024472951889038086,0.023427248001098633,1.044636223934216
000000000540.jpg,0.6579599018954859,0.25,0.15586164730953928,-0.09413835269046072,1,3,2,0.02277994155883789,0.02204108238220215,1.0335219098510497
000000000597.jpg,0.5506743651403917,0.25,0.21334920257156825,-0.03665079742843175,7,7,0,0.013837814331054688,0.014297008514404297,0.967881799686489
000000000030.jpg,0.5188293929957972,0.25,0.22805915539272265,-0.021940844607277354,2,2,0,0.02002692222595215,0.02066206932067871,0.9692602379331433
000000000025.jpg,0.45147218988239163,0.25,0.2556232529864904,0.005623252986490412,2,2,0,0.021377086639404297,0.020324230194091797,1.0518030171503647
000000000569.jpg,0.66895081049736,0.25,0.14928170559327347,-0.10071829440672653,1,2,1,0.023102998733520508,0.02167034149169922,1.0661114289486424
000000000384.jpg,0.8643010944128037,0.25,0.2068960464994112,-0.04310395350058879,4,5,1,0.021082162857055664,0.020267963409423828,1.040171744500647
000000000192.jpg,0.6903169762158022,0.25,0.13612311715794828,-0.11387688284205172,6,7,1,0.021861791610717773,0.02166604995727539,1.0090344873121024
000000000623.jpg,0.7491171669029818,0.25,0.27216693875497694,0.02216693875497694,2,2,0,0.021548032760620117,0.021046876907348633,1.0238114118060198
000000000151.jpg,0.6186169356107711,0.25,0.17836312686439956,-0.07163687313560044,1,1,0,0.02288198471069336,0.022840023040771484,1.0018371991064532
